"Electricity consumption, per capita (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cameroon,-,-,-,-,-,-,-,-,-,-,-,148.347485183932,152.141857289274,150.316090301008,167.328083979497,173.267212920775,164.772485874792,153.673478130596,154.167744529705,153.49679081419,153.923089579121,195.392854008523,219.154891057895,212.189388848052,203.499548041295,222.501633409169,207.315718781643,206.703447940652,209.206428243674,210.117972729095,199.125812469638,192.570724420668,189.33122839175,191.774851424649,168.175989687265,161.23626035925,167.12046220349,177.267310373083,174.614183106027,180.086596594404,178.518300872022,168.994812048291,159.288045916921,172.383330934605,199.587817140258,194.641475590136,244.382416582674,251.679916240085,251.001573033048
Canada,5337.42818720228,5309.7896176636,5484.4394601474,5641.91371784528,6111.7831015928,6523.88454765617,6949.87915101433,7206.61294336291,7580.29066503966,8060.21650989345,8448.56038711933,8753.16428830858,9363.43880096031,9756.98101199051,10452.0290067192,10113.1552005239,10698.8107375359,11361.3259064396,11763.6194647263,11928.9167109474,12331.1868598358,12564.7512080321,12339.6238648673,12792.8099456716,13641.8110824923,14129.0422919172,14637.4963944161,14723.19267939,15244.8721730595,15297.4464811007,15048.767029859,15014.438533872,14832.6506520833,14935.7924913429,14955.3585001294,15087.6259774046,15118.0711720798,15148.6504368151,14894.2254765463,15056.9693516033,15401.3428259398,15216.2023751927,15345.4639670133,15558.1525962914,15595.5520087226,15615.1058966822,15004.2719348165,15067.18827273,15406.3460527625
Chile,-,-,-,-,-,-,-,-,-,-,-,742.039089345008,769.88195758508,737.656164948995,780.765298102206,715.240651601486,748.106254338724,774.116694542997,814.286331661776,856.343109866663,880.746961478559,893.684001069285,862.774178575085,878.410513701517,935.842294630949,956.274350379611,997.664016822406,1021.65850219772,1088.10541869217,1155.99585215497,1180.07855262436,1269.95303577165,1423.22884103537,1476.6655123039,1546.70029985586,1703.3150138373,1871.03551918695,2010.44008227711,2093.1365144806,2321.69402011287,2425.75884435558,2579.12829095453,2642.7856405666,2839.49510954248,2974.25416916894,3023.83848306029,3149.58816785616,3257.13167682556,3256.80901840106
China,-,-,-,-,-,-,-,-,-,-,-,135.774430540777,145.879646184008,156.059108102592,154.701023824068,176.339986839736,180.09548317637,195.38947320222,221.398082862267,240.092537830042,253.002265308514,256.430090123267,271.272606397602,285.640604795522,302.718863646228,294.252986451515,316.906647193918,344.598862767346,372.465205286712,391.757805372547,424.438934094443,455.633885886095,499.209990643536,545.669466532025,603.579742867092,636.386943557524,685.889936265451,702.114448013332,722.165338588574,758.876450326685,827.685595951356,894.153134662106,987.945683255233,1151.70447533375,1329.74523531403,1530.78511342974,1767.76620470702,2027.34617467183,2142.18133942389
Colombia,-,-,-,-,-,-,-,-,-,-,-,401.071080385797,386.710349915206,387.468861012316,447.705945605951,452.180572449145,483.830571013099,491.951026387867,536.531058723683,572.961901202758,600.797042871049,604.025266997064,640.786240226959,640.882711919428,677.435274304676,668.788595205367,736.807316217613,738.403755686599,750.197310640134,799.236054926664,817.772304760958,825.719830267424,848.272318450921,908.103587134473,937.824743810866,960.651163313748,979.45690483594,941.142341446653,899.589561662556,821.705886488487,840.152455087361,872.289170779988,863.445580322212,882.688152363422,911.681293003969,906.382497538837,932.082671004668,955.142269467786,960.062801806151
"Congo, Dem. Rep.",-,-,-,-,-,-,-,-,-,-,-,163.214926943976,139.587281962375,146.592672589624,148.91396677136,145.46578251641,140.365122979992,137.104762796691,125.305448821222,118.702180752056,137.146422130828,123.083804247694,117.913984617164,124.720317239527,127.303580044049,132.235003738536,134.025037573933,129.104059296011,128.734859075985,124.632197820651,52.6922045776063,55.5945758966584,57.5067924872498,63.184996319788,44.9124154462642,44.609817848622,43.0200600733769,42.5817882412819,41.7445867833253,42.527131166795,87.1521775703708,85.9099951209073,80.4769590211256,80.9423937768444,79.0376910537849,80.3738983080414,91.6530970179308,94.9142732883412,91.6021445697947
"Congo, Rep.",-,-,-,-,-,-,-,-,-,-,-,55.9147461238143,57.4533927955967,62.4905863250161,65.056589046442,67.4291948889614,69.605255321669,70.9407985194912,70.2313611994117,75.021324970166,83.0493457307475,55.1336111180419,102.005414892928,71.1267124093229,146.039898353285,69.5617522491449,177.41104437326,175.895654027552,155.493902542126,156.214079504576,152.797537311654,166.114765501433,157.765414331571,134.292664317102,126.928372339266,126.885709010549,127.506822035808,103.555047632104,80.2651051023092,50.1641384900417,82.2091191218165,82.1538594557206,92.2421657086123,88.512126909408,87.3934954961901,95.5125561139382,105.088336645676,110.52846779859,110.951231746939
Costa Rica,-,-,-,-,-,-,-,-,-,-,-,559.005105183811,600.174722421457,617.809160487478,654.598807791627,664.918466744996,697.689749418737,723.882289275997,769.626463087613,793.606066962456,854.392159796514,912.654676884636,854.397366405334,874.933403571988,937.261181624574,968.096253585737,1014.83095621148,1057.04728640612,1053.65700646236,1076.27348418779,1099.24231668139,1106.60609107493,1154.87238183597,1202.63965339634,1274.2941626531,1277.20186205629,1285.67673178779,1332.4903591619,1413.8103998647,1464.90108487906,1673.63442910743,1598.72633252029,1656.12837144003,1722.80530849888,1786.74579370136,1841.13850175279,1917.27748480404,1990.73825970927,2006.11110634006
Cote d'Ivoire,-,-,-,-,-,-,-,-,-,-,-,84.6956129519491,90.435822215078,99.5159326719549,102.257654087916,110.778079584444,123.446844011353,132.202922043538,144.682583957847,179.03745054872,165.630952298513,172.254777140363,171.093098112321,164.127403189738,122.272540560944,140.830429580889,141.810658685685,160.049649208659,164.741767001402,151.968918937039,150.676612371086,138.933965600492,144.867417712108,137.472642083534,139.834809641697,169.027177738409,161.082925548581,172.053778051051,189.031871274988,178.510102952123,177.178416240629,186.14747467662,180.617596088189,178.388538767308,176.371126656413,174.502038381227,185.70485390326,192.835522693123,202.07130222184
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2931.0916307019,2500.53755846366,2100.9505757994,2083.26893095197,2124.65697830748,2202.90883746975,2304.16263331564,2483.91289645063,2508.03304379105,2650.65511322406,2677.07553453658,2697.42244729236,2828.88300431598,2878.38284628925,3040.21763142311,3207.27378965387,3355.40743654429,3424.37140354376,3593.39867390783
Cuba,-,-,-,-,-,-,-,-,-,-,-,454.657425205819,471.134055639071,499.792491241596,520.258570375662,556.285134004315,598.139299978155,634.00040763314,692.25460420086,768.715554342621,828.183926716893,894.829735455456,926.593611505876,924.946311785349,982.315268256341,975.702296873254,1041.89189497699,1059.58234694901,1107.99418310973,1140.13371265812,1133.46473467995,975.69908774177,838.98171824613,775.629437097818,822.399720930516,838.286677137017,895.06722761951,954.555228818483,959.722304554674,997.13453867841,1053.96301491799,1071.52898268317,1094.61234119643,1103.40440515624,1084.8407376792,1065.26190503469,1136.56618482942,1202.19722944416,1221.02441556935
Cyprus,-,-,-,-,-,-,-,-,-,-,-,940.795321071313,1077.95225930065,1161.27540621549,991.281879194631,1023.9352989353,1166.26401603742,1266.93923796791,1351.32472545757,1434.73184597587,1494.54065466448,1508.60618223013,1602.08233221208,1670.13279518835,1695.88263791217,1823.28503012514,1954.19784615385,2037.06663633606,2212.02471481459,2470.21704783936,2629.08198294853,2705.46422714316,2996.50271107121,3212.98376684809,3319.47371317864,3032.51027021719,3112.99930007351,3203.36031452359,3492.78026019535,3673.24880720506,3951.32578989218,4077.35326463814,4412.2866258142,4725.74768323232,4832.50978506999,5076.97123439208,5315.24279581436,5562.4964963213,5847.60374663766
Czech Rep.,-,-,-,-,-,-,-,-,-,-,-,2723.00235252829,2857.79970468938,2976.50035512223,3090.54323626146,3237.68071540195,3354.73737679912,3458.73050305971,3605.11194574231,3522.57958784249,3681.48756026742,3758.04287357893,3795.53199315508,3899.35671562551,4037.79095497392,4197.87672977398,4311.93199115788,4472.56617767355,4545.90157713242,4615.86047506855,4673.90333433758,4315.70325074104,4206.48146873572,4167.0478056607,4353.86019874804,4658.2183898805,4877.22494687406,4819.46863453159,4750.17391496158,4681.7724423361,4809.08208544236,4958.93892290116,4956.19013883668,5113.25611225424,5254.80718371279,5399.88352661589,5571.44385667271,5597.00225169385,5679.57662482336
Denmark,1010.65994760969,1118.03300217774,1264.511559214,1386.36896270993,1505.51302060879,1696.99105525315,1831.0747139135,1965.9237786228,2139.35323074394,2377.39452555439,2617.7638702821,2801.15838284178,3041.05778191985,3206.55987889748,3033.66769884905,3133.25863694675,3484.64201367505,3679.01484920955,4003.85756018469,4205.92422217011,4222.28749916797,4262.9351339784,4347.56356332103,4381.44924317066,4612.48053503205,4907.31962490498,5140.03748437175,5329.5864423494,5410.06096481617,5457.67826515759,5517.67336957304,5674.28525642021,5752.29025525618,5813.6438653562,5910.08127204476,5902.89491366836,6021.90253084572,6034.02179132166,6043.78199909594,6049.80859504667,6081.56488458085,6081.38907051872,6050.73679557139,6002.03899121602,6091.73227802457,6161.25911233383,6200.54748956136,6143.80189534977,6085.99692637167
Dominican Rep.,-,-,-,-,-,-,-,-,-,-,-,234.923762484677,361.204201202698,375.994347964241,359.895326083489,396.823004223632,375.677323433003,412.309247944482,396.476786070685,466.440305846354,433.123900818961,425.009455530199,314.213780058773,346.974939421347,428.86265933843,481.446494187227,449.913583333448,507.356423011625,384.994746267761,345.272335532205,438.642527019205,470.682594197179,517.288903646911,487.777464270412,505.727333641836,477.950563916388,616.26310054805,616.199491589277,654.536153290483,640.86839302913,708.10761441804,1021.56547514086,1123.28173448341,1354.33486663404,1364.41175365511,1298.96592499443,1325.698208969,1403.74302734596,1386.89549725526
Ecuador,-,-,-,-,-,-,-,-,-,-,-,136.534460245623,143.23104423471,150.373715519152,175.885827202154,196.347805156746,223.576213679469,249.259502785187,291.930480175266,329.256977635195,362.794962792117,381.46777367813,400.270461459386,408.754827780179,408.420412405452,381.124431451001,408.950714664088,437.368487771496,439.424232207849,434.085208897135,464.416133070286,500.085486593081,509.842328072454,504.304256414423,541.761846487453,558.589579090897,605.045521010455,655.097626987112,675.082252708307,623.799097520859,630.890934686071,638.053949510776,626.446107237126,644.750204259083,657.968237024533,676.885918330497,705.865578250173,732.338420201691,880.780871144809
Egypt,-,-,-,-,-,-,-,-,-,-,-,201.534117084291,198.70031436116,196.00254777185,216.847401335415,239.296167222682,269.916416757139,306.987024990265,314.420780410301,335.10065050132,364.256615490634,393.204964401387,428.672239373347,472.06567979016,488.675469316215,462.858486991858,552.727944271512,578.80762919614,594.543778193821,619.243957681049,638.66110334364,653.29136726811,656.811076586762,671.90781677005,686.817285707664,703.756843535971,759.56748130335,795.948253229176,836.362679163411,880.55353141783,912.745662500474,962.23872964065,1011.19566157826,1066.0816121009,1118.05306488248,1188.31916561139,1248.12340440296,1328.28498257319,1368.68952986233
El Salvador,-,-,-,-,-,-,-,-,-,-,-,167.939590360439,177.562216706679,199.355303508306,211.278163988315,222.088667680787,241.49579722028,265.775127458036,288.477913688293,297.964807439128,275.55225692091,265.823037128352,266.200712288371,288.252695717221,298.246664456377,308.565100342791,314.094552808378,326.976767143159,336.950347000455,336.017527188596,358.504044405716,373.60135097088,388.721410656899,440.716081305119,473.113216140903,508.851934573382,515.775134313564,550.809526995962,559.870323443336,577.799447968796,642.825423865846,576.120786923049,601.019667181906,613.675736769052,620.221612282944,632.78248906924,683.609049513234,739.647626809736,809.25631109866
Eritrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.899406832332,31.5232049163076,34.8631683449082,38.3590266645728,39.7401057304089,41.8968050564778,37.7748407945536,39.6140708871608,39.7171864817847,43.3518428441397,46.8954905755895,49.2242645372801,49.1919740172598,49.6915949373378,45.966132399581,48.1072843943394,46.3444563212505
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4471.52520642672,4472.61629178216,3552.64218641146,2795.143869022,3184.14277001911,3167.50506218765,3520.66789604063,3744.96679168869,3707.37940515585,3460.94251077168,3617.75022375864,3775.90886894217,3959.18095582602,4188.88435962396,4408.00702709471,4532.31219610276,4901.46224552284,5164.64862392014,5357.32176001162
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,17.6113406190408,17.5850126218819,16.8577648648631,16.1833547845832,15.6506230556236,15.1099622511093,14.0415478176414,14.6549362331104,16.1535264414659,16.9858585154473,17.7869786263281,18.4228289035016,19.1849236902671,20.266955610129,19.11982280834,19.3015428686325,20.3062019515097,19.1487285570875,18.4529662072331,18.8218813564288,18.6011112273167,18.8559019265632,20.0050031572841,20.8026310610582,21.6892569010327,22.2743636010162,22.1384847616326,22.1079279850728,21.3344347427153,21.9393148733286,21.8562247118921,24.9946386729606,26.3446894750608,28.7562066867498,31.9550323855384,34.334466184638,41.7395893006795,39.953984258203
Finland,1801.16395611342,2112.46077340437,2314.81755418025,2386.73566630093,2615.59327556247,2831.08763617145,3069.62076846118,3209.61399504619,3465.90148123764,3859.43800587614,4348.95138773859,4683.71787922441,5283.23784279743,5775.90707919558,5845.75250278537,5671.05050495188,6193.26028257616,6346.28283513776,6884.10209892504,7441.69739899133,7781.02743049272,8033.79773264966,8072.62346918841,8647.94055011062,9291.71102063424,9900.01667148464,10073.4241078492,10745.8332523948,11151.0045317694,11414.7844377394,11822.8066807703,11787.0279385678,11856.4360323338,12296.1701224479,12792.5966350271,12778.2880210882,12990.0279826807,13731.8101762891,14153.1669989973,14399.7616097565,14625.56156944,14926.1203221661,15348.8823673383,15538.6742384576,15944.5338394082,15497.3613758897,16398.6500979093,16481.8550337313,15754.3993697315
France,1321.93705189402,1407.7746251272,1490.82512902131,1590.0828501506,1714.97558254034,1763.74460554109,1863.0217900557,1941.01788335452,2024.79664837586,2210.3554910333,2356.30253096265,2462.02054323876,2625.38549756437,2850.06331499128,2992.72951678952,2990.05104833774,3238.98328335028,3397.84531103055,3619.0599245056,3795.2173965358,3882.48817114275,3887.50584055149,3947.02544578883,4150.09342173376,4310.91386821727,4521.14113980868,4772.68765016625,4963.83605314389,5043.03285765552,5196.07042356752,5327.99054540446,5633.4645757229,5758.45205314398,5769.47171706743,5829.254504912,5897.04768519378,6095.35457997074,6064.5034684768,6243.01512223719,6343.89472564915,6483.02000982526,6635.27581179864,6567.48598444707,6787.46961496467,6954.75551828867,6971.21237642108,7014.2731545905,6975.51353289138,7075.05262208671
Gabon,-,-,-,-,-,-,-,-,-,-,-,165.45197337273,55.774503370962,214.086496783929,206.034105068532,193.10701145768,383.960214920859,400.713708313101,426.925915522436,445.667370565231,598.564348803507,736.607369949912,822.566635803861,859.369318459116,876.122321939994,979.049352022004,980.420224222033,962.239148929403,957.697602183291,795.130971529633,825.754773635643,809.67756252774,788.382989817792,771.484677772993,705.79379340115,709.611103883158,782.274587305914,791.306237230163,853.692580697048,834.613451848876,800.640089228189,820.256047313948,843.680370413698,848.871316993373,846.008366125847,865.818833298549,911.803178595641,950.773465890696,1030.4054512047
