Per capita total expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Lebanon,500,533,594,616,586,589,603,555,554,583,584,608
Libya,200,203,229,272,241,243,463,368,331,295,275,270
Morocco,126,135,145,160,169,178,199,210,226,240,258,273
Oman,339,338,336,391,370,342,367,397,407,413,390,382
Pakistan,39,43,45,48,53,44,41,43,43,47,49,51
Qatar,672,726,713,932,818,553,649,725,1075,1159,1283,1426
Saudi Arabia,336,350,372,411,514,563,595,566,571,557,570,607
Somalia,17,18,17,18,18,18,18,,,,,
Sudan,27,29,29,33,36,32,38,41,44,53,54,61
Syria,103,110,107,110,112,105,109,116,122,113,110,109
Tunisia,277,289,291,316,340,365,399,397,421,445,477,488
United Arab Emirates,756,721,733,743,659,609,713,638,649,632,625,673
"Yemen, Rep.",51,51,56,70,64,66,75,77,85,82,88,82
Albania,101,106,138,157,198,234,246,269,293,340,353,358
Andorra,1486,1603,1765,2195,1760,1903,1924,2154,2275,2427,2697,2910
Armenia,80,90,109,122,137,154,181,177,215,242,270,272
Austria,2291,2381,2484,2650,2741,2867,2901,3071,3215,3398,3485,3545
Azerbaijan,105,118,100,110,117,115,123,140,142,152,193,218
Belarus,215,206,249,252,276,300,347,358,389,428,515,572
Belgium,1843,1939,2037,2112,2283,2518,2655,2837,2871,3006,3071,3183
Bosnia and Herzegovina,147,257,361,401,481,442,460,545,610,709,779,794
Bulgaria,291,245,254,289,343,386,484,552,609,655,734,741
Croatia,554,648,568,676,733,855,860,852,880,974,1001,1084
Cyprus,724,818,892,948,984,1074,1140,1228,1335,1355,1550,1696
Czech Rep.,899,917,922,926,938,980,1082,1195,1340,1388,1447,1490
Denmark,2827,1979,2060,2176,2280,2378,2521,2696,2823,3030,3169,3349
Estonia,407,464,502,474,522,513,519,561,646,740,846,989
Finland,1402,1468,1522,1554,1603,1688,1793,1939,2028,2203,2299,2472
France,2051,2107,2165,2252,2344,2492,2666,2862,3076,3211,3406,3554
Georgia,78,125,148,131,132,161,185,224,250,276,318,355
Germany,2275,2399,2411,2482,2592,2671,2808,2936,3089,3166,3250,3328
Greece,1265,1301,1355,1382,1467,1966,2248,2427,2599,2667,2949,3101
Hungary,660,659,679,763,810,852,971,1114,1282,1315,1329,1382
Iceland,1913,1976,2113,2392,2680,2661,2768,3059,3130,3328,3354,3319
Ireland,1203,1281,1395,1498,1625,1801,2127,2360,2516,2723,3125,3082
Israel,1402,1464,1531,1549,1691,1810,1919,1964,1980,2072,2143,2263
Italy,1539,1613,1728,1830,1880,2053,2216,2224,2273,2405,2494,2623
Kazakhstan,151,147,166,173,165,177,172,200,225,263,306,330
Kyrgyzstan,77,70,78,87,80,68,74,85,92,106,113,127
Latvia,320,366,412,439,473,482,541,611,653,796,860,974
Lithuania,338,378,423,489,498,559,598,681,793,756,862,1041
Luxembourg,2150,2269,2277,2438,2844,3137,3429,3915,4579,5317,5521,5773
Malta,888,906,1008,1058,1103,1247,1294,1492,1586,1608,1733,1825
Monaco,2575,2522,2881,3275,3717,4472,4096,4261,4930,5162,5447,7154
Montenegro,75,70,70,73,66,70,79,83,96,96,106,117
Netherlands,1799,1862,1915,2053,2178,2336,2555,2833,2836,3002,3187,3383
Norway,1863,2043,2350,2537,2780,3039,3266,3629,3840,4082,4331,4521
Poland,411,478,498,559,573,583,642,733,749,808,844,910
Portugal,1160,1201,1287,1331,1429,1508,1569,1658,1823,1913,2034,2080
Moldova,111,117,114,90,71,81,88,105,123,149,170,190
Romania,197,217,270,246,253,275,312,368,415,427,507,610
Russia,325,332,434,383,352,375,424,478,492,505,561,638
San Marino,2257,2290,2340,2527,2751,2870,3026,3646,2976,3153,3191,3297
Serbia,299,267,291,304,247,244,270,332,356,395,395,525
Slovak Republic,505,582,564,584,599,603,665,730,792,1058,1130,1235
Slovenia,975,1058,1153,1226,1303,2930,3398,3755,4141,4457,4724,2065
Spain,1194,1249,1299,1383,1450,1536,1635,1746,1943,2097,2242,2388
Sweden,1746,1861,1887,1982,2130,2283,2403,2597,2736,2964,3012,3119
Switzerland,2598,2767,2880,3018,3110,3256,3471,3719,3829,3988,4088,4312
Tajikistan,28,20,24,25,29,37,40,44,49,54,67,71
"Macedonia, FYR",375,395,432,504,445,462,440,485,522,544,569,623
Turkey,177,213,250,295,372,432,456,483,502,572,592,645
Turkmenistan,101,117,162,174,171,211,207,185,214,230,308,259
Ukraine,272,226,234,257,238,247,283,331,384,427,488,542
United Kingdom,1351,1435,1500,1569,1689,1846,2022,2164,2270,2506,2598,2784
Uzbekistan,106,113,114,153,146,145,150,154,153,156,171,177
Bangladesh,36,41,44,44,47,49,52,53,57,60,57,69
Bhutan,57,68,78,80,91,84,95,79,77,84,85,107
"Korea, Dem. Rep.",37,35,34,36,39,41,42,43,45,46,47,49
India,44,46,51,53,54,60,67,73,81,88,100,109
Indonesia,52,55,56,52,55,48,52,56,73,74,78,87
Maldives,198,227,260,284,308,357,374,388,461,563,878,882
Myanmar,20,20,19,20,21,29,31,38,35,36,38,43
Nepal,50,53,56,69,63,62,64,72,70,72,76,78
Sri Lanka,90,93,99,110,117,127,130,139,152,177,189,213
Thailand,223,259,267,223,219,226,228,270,307,300,323,346
Timor-Leste,112,80,125,106,82,93,105,103,101,110,145,169
Australia,1611,1710,1805,1942,2094,2265,2397,2566,2686,2885,3001,3122
Brunei,479,506,543,642,612,457,499,504,513,458,421,394
Cambodia,67,93,86,82,85,93,107,114,131,150,167,167
China,91,108,125,146,163,183,198,228,254,279,315,342
Cook Islands,330,333,322,278,342,543,442,499,498,594,587,566
Fiji,178,206,214,197,206,245,220,241,243,280,271,280
Japan,1551,1659,1695,1747,1829,1967,2080,2137,2224,2337,2474,2514
Kiribati,180,199,220,182,233,228,247,252,285,292,283,290
Laos,35,39,56,66,52,49,54,56,81,76,78,85
Malaysia,220,250,242,241,259,280,298,313,443,459,454,500
Marshall Islands,543,503,494,457,505,764,673,665,596,485,582,607
"Micronesia, Fed. Sts.",320,305,296,279,303,333,373,353,422,449,539,491
Mongolia,75,69,72,80,88,104,114,118,114,120,113,149
Nauru,727,807,736,659,660,622,639,636,651,692,716,803
New Zealand,1244,1307,1431,1529,1620,1686,1817,1935,1949,2067,2223,2447
Niue,86,102,64,113,115,118,602,184,217,302,300,298
Palau,652,757,696,701,732,716,705,797,930,845,901,1084
Papua New Guinea,113,123,104,126,136,129,143,160,146,173,172,134
Philippines,145,157,168,162,165,170,163,156,183,194,199,223
"Korea, Rep.",473,542,574,546,645,718,916,962,1041,1129,1280,1487
Samoa,135,161,162,185,173,186,173,181,202,204,218,232
Singapore,736,770,790,776,864,874,936,957,1126,1094,1140,1228
Solomon Islands,101,99,107,114,111,105,104,91,97,120,92,107
Tonga,174,176,184,212,228,250,309,274,271,268,254,289
Tuvalu,83,100,105,114,129,157,142,135,169,149,150,205
Vanuatu,102,89,111,132,129,136,134,137,136,131,133,139
Vietnam,85,95,97,109,113,132,148,147,162,188,221,264
